Date,Temperature,Atm. Pressure,Complexity,Direction of the wind,Wind speed
25.06.2015 00:00,23.9,755.5,61,6,3
25.06.2015 03:00,24.3,756.1,52,1,1
25.06.2015 06:00,26.6,755.9,45,6,3
25.06.2015 09:00,28.6,755.3,46,4,2
25.06.2015 12:00,34.7,754.6,27,8,2
25.06.2015 15:00,38,753.3,16,7,1
25.06.2015 18:00,32.7,753.4,23,1,3
25.06.2015 21:00,29.3,754.6,31,4,2
26.06.2015 00:00,27.3,754,35,8,1
26.06.2015 03:00,26.8,753.4,38,4,1
26.06.2015 06:00,25.6,753.7,44,6,2
26.06.2015 09:00,28.2,753.6,39,6,2
26.06.2015 12:00,35.5,752.8,24,4,3
26.06.2015 15:00,36.5,751.2,22,6,4
26.06.2015 18:00,34.7,750.9,24,6,1
26.06.2015 21:00,25.2,753.6,53,5,2
27.06.2015 00:00,22.8,752.7,64,1,3
27.06.2015 03:00,23.5,751.2,61,1,3
27.06.2015 06:00,24.6,751.1,51,6,3
27.06.2015 09:00,28.8,751.3,41,8,1
27.06.2015 12:00,32.3,750.9,34,1,2
27.06.2015 15:00,35.1,749.9,28,5,2
27.06.2015 18:00,32.3,750,34,1,2
27.06.2015 21:00,26.8,751.7,41,5,2
28.06.2015 00:00,24.2,751.7,60,1,2
28.06.2015 03:00,22,751.9,72,5,4
28.06.2015 06:00,22.6,752.7,63,5,4
28.06.2015 09:00,22.1,760.7,63,7,1
28.06.2015 12:00,26,753.7,40,5,3
28.06.2015 15:00,27.2,754.1,40,5,2
28.06.2015 18:00,29.4,753.4,32,5,2
28.06.2015 21:00,25.6,755.1,44,0,0
29.06.2015 00:00,24.4,755.1,44,6,1
29.06.2015 03:00,20.9,755.8,76,6,1
29.06.2015 06:00,21.3,756.1,72,5,3
29.06.2015 09:00,27.5,756.7,44,3,2
29.06.2015 12:00,21,758.8,74,7,2
29.06.2015 15:00,18.9,759.2,88,7,2
29.06.2015 18:00,21.1,758.5,77,2,1
29.06.2015 21:00,20.7,758.6,78,2,1
30.06.2015 00:00,19.6,759,74,7,3
30.06.2015 03:00,18.9,759.2,75,4,1
30.06.2015 06:00,19.8,759.5,73,0,0
30.06.2015 09:00,23.9,759.7,50,7,3
30.06.2015 12:00,27.4,759.3,32,7,2
30.06.2015 15:00,28.8,758.8,24,7,4
30.06.2015 18:00,27.9,758.6,27,7,3
30.06.2015 21:00,25.7,759.4,35,2,1
01.07.2015 00:00,21.2,758.6,70,7,1
01.07.2015 03:00,20.2,759.5,74,7,1
01.07.2015 06:00,20.3,759.8,75,7,2
01.07.2015 09:00,24.9,759.6,47,7,4
01.07.2015 12:00,27.9,759.1,37,7,2
01.07.2015 15:00,29.5,759.1,31,3,3
01.07.2015 18:00,27.1,759.6,41,5,3
01.07.2015 21:00,24,760.9,50,5,2
02.07.2015 00:00,21.3,761.9,51,5,3
02.07.2015 03:00,18.1,762.4,63,5,2
02.07.2015 06:00,19.4,763,61,5,2
02.07.2015 09:00,24.8,763.1,36,5,3
02.07.2015 12:00,28.1,762.7,25,3,2
02.07.2015 15:00,30.2,761.8,21,5,1
02.07.2015 18:00,29.5,761.3,21,1,2
02.07.2015 21:00,25.8,762.1,30,5,2
03.07.2015 00:00,22.5,762.4,39,1,1
03.07.2015 03:00,21.4,762.2,43,1,1
03.07.2015 06:00,21.7,762.3,47,1,1
03.07.2015 09:00,26.8,762.2,33,6,2
03.07.2015 12:00,27.6,762.2,27,1,2
03.07.2015 15:00,29.1,761.7,25,1,4
03.07.2015 18:00,27.8,762.1,30,1,4
03.07.2015 21:00,23.9,764,37,1,3
04.07.2015 00:00,20.4,765,48,1,3
04.07.2015 03:00,17.2,766,61,1,1
04.07.2015 06:00,18.5,766.7,59,6,2
04.07.2015 09:00,22.2,767,42,6,2
04.07.2015 12:00,26.2,766.3,23,1,2
04.07.2015 15:00,28.1,765.2,19,5,1
04.07.2015 18:00,28.4,764.3,21,5,2
04.07.2015 21:00,24.7,764.3,29,5,2
05.07.2015 00:00,23.8,764.2,31,5,1
05.07.2015 03:00,21.8,763.7,37,5,1
05.07.2015 06:00,23.3,763.6,41,5,2
05.07.2015 09:00,28.6,762.8,30,3,1
05.07.2015 12:00,32,761.4,23,2,2
05.07.2015 15:00,34,759.8,18,7,2
05.07.2015 18:00,33.2,758.8,17,7,1
05.07.2015 21:00,29.2,758.8,23,5,1
06.07.2015 00:00,27.5,758.4,24,5,2
06.07.2015 03:00,25.9,757.8,26,5,2
06.07.2015 06:00,24.4,757.6,34,5,1
06.07.2015 09:00,28.3,757.3,26,7,5
06.07.2015 12:00,33.2,756.3,20,7,2
06.07.2015 15:00,32.2,755.3,22,7,3
06.07.2015 18:00,27.3,755.7,39,5,4
06.07.2015 21:00,21.7,757.5,69,5,2
07.07.2015 00:00,21.6,757,67,5,3
07.07.2015 03:00,19.9,757.9,75,1,2
07.07.2015 06:00,20.5,759.2,44,6,3
07.07.2015 09:00,23.1,759.9,38,6,3
07.07.2015 12:00,25.7,759.8,32,6,2
07.07.2015 15:00,27,759.3,27,6,2
07.07.2015 18:00,27.3,758.9,24,6,2
07.07.2015 21:00,24,759.3,31,0,0
08.07.2015 00:00,21.7,759.3,43,4,1
08.07.2015 03:00,20.3,758.9,46,2,1
08.07.2015 06:00,21.8,758.8,36,2,2
08.07.2015 09:00,29.5,758.1,26,7,2
08.07.2015 12:00,32.1,757,24,7,4
08.07.2015 15:00,33.8,756.1,24,7,3
08.07.2015 18:00,33.2,756.1,23,5,4
08.07.2015 21:00,27.9,757.3,26,5,2
09.07.2015 00:00,24.1,758.1,31,1,1
09.07.2015 03:00,22,758.8,38,6,1
09.07.2015 06:00,23.5,759.4,46,6,1
09.07.2015 09:00,27.1,759.4,35,8,2
09.07.2015 12:00,31.8,758.7,22,8,1
09.07.2015 15:00,34.7,757.1,17,8,1
09.07.2015 18:00,33.8,756.1,19,4,1
09.07.2015 21:00,29.7,756.6,24,6,1
10.07.2015 00:00,28.1,756.3,22,4,1
10.07.2015 03:00,25.8,755.6,28,8,1
10.07.2015 06:00,27.4,755.5,34,2,1
10.07.2015 09:00,31.4,755.4,31,2,1
10.07.2015 12:00,35.1,754.2,19,2,3
10.07.2015 15:00,35.1,752.8,16,5,1
10.07.2015 18:00,31.3,752.5,26,5,2
10.07.2015 21:00,27.8,752.8,46,5,2
01.08.2016 03:00,22.1,760,62,6,1
01.08.2016 06:00,23.4,760.3,54,6,2
01.08.2016 09:00,25.6,760.5,47,6,2
01.08.2016 12:00,30.2,760.5,39,8,1
01.08.2016 15:00,31.9,759.7,27,2,1
01.08.2016 18:00,29.7,759.9,34,8,1
01.08.2016 21:00,27.7,760.3,35,8,1
02.08.2016 00:00,23.9,760.2,60,6,1
02.08.2016 03:00,23.7,760.2,62,6,1
02.08.2016 06:00,22.5,760.7,61,5,1
02.08.2016 09:00,21,761,77,1,2
02.08.2016 12:00,26.8,760.4,52,6,2
02.08.2016 15:00,31.9,759.1,31,6,2
02.08.2016 18:00,31,758.2,32,6,1
02.08.2016 21:00,26.3,758.5,42,1,1
03.08.2016 00:00,25.1,758.3,47,6,1
03.08.2016 03:00,23.6,758,54,6,1
03.08.2016 06:00,24.2,758.4,58,6,1
03.08.2016 09:00,26.4,758.5,59,8,1
03.08.2016 12:00,32.6,757.8,29,8,2
03.08.2016 15:00,33.8,756.8,23,8,2
03.08.2016 18:00,32.4,756.2,31,4,2
03.08.2016 21:00,28.8,757.3,32,8,1
04.08.2016 00:00,26.2,757.6,39,8,2
04.08.2016 03:00,25.4,758.4,44,0,0
04.08.2016 06:00,23.5,758.8,59,6,1
04.08.2016 09:00,28.5,758.9,43,4,2
04.08.2016 12:00,30.1,759,37,4,1
04.08.2016 15:00,34.1,757.8,24,4,3
04.08.2016 18:00,31.2,757.7,26,6,2
04.08.2016 21:00,29.6,758.9,23,4,1
05.08.2016 21:00,27.5,760.9,39,0,0
06.08.2016 00:00,25.1,760.9,46,1,1
06.08.2016 03:00,23.7,761.3,52,6,1
06.08.2016 06:00,25.2,761.2,45,1,1
06.08.2016 09:00,28.3,761.4,52,6,1
06.08.2016 12:00,33.7,761.3,20,4,1
06.08.2016 15:00,34.6,760.9,15,8,1
06.08.2016 18:00,34,760.1,18,6,2
06.08.2016 21:00,29.3,761.9,33,8,1
07.08.2016 00:00,26.8,762,37,7,1
07.08.2016 03:00,24.9,761.4,47,6,2
07.08.2016 06:00,26,762.1,39,4,1
07.08.2016 09:00,27.8,761.8,36,6,2
07.08.2016 12:00,32.4,761.1,26,4,3
07.08.2016 15:00,30.8,760.4,33,6,2
07.08.2016 18:00,33.1,758.8,23,6,2
07.08.2016 21:00,26.1,760,51,5,3
08.08.2016 00:00,24.5,761.2,56,4,1
08.08.2016 03:00,24.2,759.4,55,1,3
08.08.2016 06:00,25.9,759,39,5,3
08.08.2016 09:00,25.7,759.4,41,6,3
08.08.2016 12:00,28.6,759.2,33,6,1
08.08.2016 15:00,27.7,759.4,42,1,1
